NFT	Solana Address	evm-address
5GACeFCXiE8RWbN6YzUKvK3DAaqbJNdBJq13ahVASCQ4	3t4PaeMf74TxYADmQ6rW5JyyCbABDBTnzfZaGk8y7KSz	0xab16954c8c19c6658359377d5af87724054ebbba
GniKpHigST6ijdBVZYrG8aRp1PLnQfKcGtfEZf63bxj	6upbJS4611WYEd9WtWnF2MmfRedVxXVNAjYacPiUKh9f	0x5db343431a5972dc6a3b4258bb9774f30d930e43
ECoAZBqvWzf85LgbphZ916RXqrQ3wkvDCVPr3ZYHBx15	4WmiEa9afyDCavgSaNRY3QY83DTP6YwNzMAED3qaTzvc	NULL
236y9iWo6VJVcN2oqvs9bVTU85SSbn9nXqCmAwKpei1J	HUyjYaPFbpTUVtKxv7F6jheNWoY8yu7KWBprnFcLzUQk	0x88902117d492794c19e16785369ccabb65475c1d
CmMSMFxRKw1cbYPrbwQeHWFbzP5Xtrdi8u93KkggTNnM	9PexCjS6v6Gf8ASJgTUZBcLZcGCH9ke5ukDpzkG7Ujvf	NULL
CgTQraqCzefjcSFTAbwhxfrkqxwGVKUbWDeRrPTPUVyd	ErTm4TxL7sE72DzapVBPQxEqkjRJU8rsC1tipBCpcDJB	NULL
FxxGAb9zBFgg5gAyqhExFEcoN3gsUBtVw9bSZ5RffcoA	GxC9MDGXxR5AJZW5vZH9SC2EazcgZ8MqLBLsJ4xcye2F	0x43624bf6a0074bc50332408fc38aa62adb1c2a35
8sxRUU4PHVGrsmfyk3rgMPtEv5VHaKA4ir6Y5e4LZcmJ	DGr89MhxsG518hEhvvYFmXE6ZUvYURGSZmPVwN7TJ2DV	0x7fEC5b6979cC0fF48d85b43f9b3cb2E2fae3127d
D8WAtVrR5odfNz27T6Za1GAum7oKyrXEpCtG9HXWriDh	A8DAs61vaDdb85w7bGNv5chTuEnskdgrUyMynZYN484K	0xf1F2Db013F4E89C00e8a72bd685d7c02e04b13A5
6u6pjwQsNk4yzcW3y6n2cXW3nDkLxuPY4nBXtkXwtBWT	cRgD3A2qUBTtLJs9b7ZchSktqw5VqGzMT2BxgWhRUeJ	0xd6f3E2d0869F907933D1C33994105052Bc83c52F
3LZuPLJzhjB8Ehpkhr4cB86hXtqvNCSAGxri5LkG1hyH	8PwiYGkPL6w1Na9wCuz37mPrMU1AeiFnkSMotkztk25D	NULL
9dHqq4iVck4xX4LNrvhKxarkbpzYeH7RSF1jntmeZd1d	6TapgrrXdHa9wEwc7fDtb91PJGk3yWiFPMWQvvRyR9iF	0xb0c03e54666134c663feac360a92c00bdc9ac4a6
HA9ZDoVtQ8w69FJwab8uNVMqS9KeoKNihDQaxkuPYRsY	EXtE8sdTe7mTVb3SPrwjPRFhtZz6B9EJEY9dMJGpSzwm	0xb23eb4efb463bd20cbfe59a9e2a18d8fbead9c31
7oWayLsQiDBUAgDLN9ufJMaaAqWeZJhaRTsak4Jn7Y2U	HJ243FoGFKaPwFSp6UY3MzVEwPp4E4Corh37kRBvmV7P	0x573e062b9c61d3608ed4100dc3528e9bf55a74ee
9BM5DRPG3UevagRSd348zsTkSjdFGRVTpGZ3XnzZKDxx	BJNwe6Gq6qECCTNC2gUKNWWqkcG6HGsz2bA9YB3qhUQj	NULL
3Vh5Az59sVL1hUZdYseU5qYdPUUYkqdi7wik4Grki93A	2aJWEjZUpEJvmNiHCZ53wZ6M2fU95tsoJm4wBowKu7Vr	0xfdf3b45c0a347828db7394d0a60b8a33a244c25d
C7cGVRxxkjASuC74pznhcYXS8bjK3tzPJLePovvYxKCn	4uoQosTzivamGpEKh9tUdrZrNCtgAM5QveCtzYwb9A55	0x17d2B1B51fb36eF6f8e397feEE9e0C98Ad8EAB60
9UWFdKCT6u5HVkvAZdF1jp8DPEHcBekfjXMNhET5xH1N	ALvnDUSFfZmJeG95MvDbLdmF6YxELQPd8q3w1ZN8QWxU	0xbf340b56c995906f35c0e8b5a67eba2de1d4262f
vfGdiaaa8aRpNLeCfpkv1PmSvk3Pjm4cw6F6iPyzJyr	5G1vmYh9pCdu9EKiP5hAnzsxrboDmoLUU2atiAheWSCz	0x54b1cf34a20276af6dbdf5159c35860bad75652e
AZvvnEZvvXLoj9dL8MnnTRnLDX46WFAZVAicSSi45QAm	ExdWMnMfeTfWQcYeyXUrC6Gnh82wbMWvmzpVockXxMFb	0x62b922c0b8d566b5bf7bc5d8ac70a4c50af117ec
6QLLREwZpeLb7w5MNtfYQVzgBARb82tJYj84UkuUdt7J	3sxkDJqcepjfnppjzD7CNd8jTRDbLZHHYME16wevZjBr	0x738c5dbca9f2d022174c7abf99da5bec001fc54d
3661vfHBdfDwRC5YDm535p3WAfp51BRSv3feC7jVBUZb	34MTCwusX6KMq6G69g7r8qGn28XPCNKVZnyZcLhtnH5L	0x76bc5624741616547ffebf459947fbb0c6065c9c
