ID	Name	CampaignID	Holder	LastTransferBlock	LastTransferTxIdx
1	Shadowy Super-Coder	91	0x55a0e991015d9d00067f6dfca8c0e1bebef68cd5	13087934	97
2	Shadowy Coder	92	0x62fd32683425a6cabfdb32b4d99d1347c90e59c8	13088505	476
3	Shadowy Coder	92	0x0035fc5208ef989c28d47e552e92b0c507d2b318	13088537	132
4	Shadowy Super-Coder	91	0x7a1057e6e9093da9c1d4c1d049609b6889fc4c67	13088538	111
5	Shadowy Super-Coder	91	0xe9b3c292904114e6e6f04a363ae4c0f800f3236d	13088539	285
6	Shadowy Coder	92	0x7a1057e6e9093da9c1d4c1d049609b6889fc4c67	13088540	360
7	Shadowy Coder	92	0x3d080421c9dd5fb387d6e3124f7e1c241ade9568	13088542	222
8	Shadowy Coder	92	0x7e461d582a6286ec922b5863453d8c19c2aafe8e	13088542	227
9	Shadowy Coder	92	0xef42c2f3c2c76de14287d82dbb68cbc0b0e42127	13088544	219
10	Shadowy Coder	92	0xe9b3c292904114e6e6f04a363ae4c0f800f3236d	13088545	154
11	Shadowy Super-Coder	91	0xf9ab2ef128d856339ad2c258cdaa14a22c662a14	13129288	336
12	Shadowy Coder	92	0x898b5632d5b7d818dfe03964055e804f04bea572	13088552	94
13	Shadowy Coder	92	0xbf6ab411fd1f824e5ddb47d3695fc4b06edda08a	13088554	63
14	Shadowy Coder	92	0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2	13088554	79
15	Shadowy Coder	92	0x44d6c9d5bce0831ec038d874dfb62464f40861b0	13088554	267
16	Shadowy Coder	92	0xc3a83019431a92559f795ef0dfee1964dfc498d9	13088556	535
17	Shadowy Coder	92	0xf37fd9185bb5657d7e57ddea268fe56c2458f675	13088572	141
18	Shadowy Coder	92	0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48	13088572	398
19	Shadowy Coder	92	0x415b357871824e3816a95a1f802d3d00a6897c01	13088577	224
20	Shadowy Coder	92	0xbf56ed4f9b58ca485563f25c17fb7183a743f288	13088577	226
21	Shadowy Super-Coder	91	0x1cbf903de5d688eda7d6d895ea2f0a8f2a521e99	13088577	255
22	Shadowy Coder	92	0x7e9cbaf980c31a256b914cdf907e5a91ddaffd8d	13088577	257
23	Shadowy Coder	92	0x71a15ac12ee91bf7c83d08506f3a3588143898b5	13088577	259
24	Shadowy Coder	92	0x7084ebefc24d44a38ccbe2739268afefed27e2f9	13088579	215
25	Shadowy Coder	92	0x87bb1f1723ac6c6b341a5df432f5a852d49ad12d	13088611	51
26	Shadowy Coder	92	0xeed1edd7599f2991159e3fe71cc2010e9590037e	13088579	506
27	Shadowy Coder	92	0x6efef34e81fd201edf18c7902948168e9ebb88ae	13088648	322
28	Shadowy Coder	92	0x5e46884a77e0ac5f3126e30720bd5218814dc5e2	13088592	302
29	Shadowy Coder	92	0x3934d6fff80869474465ef2c0c61344f3b98fee5	13089278	357
30	Shadowy Coder	92	0x140713bbd82113e104c3a45661134f9764807922	13088594	204
31	Shadowy Coder	92	0xc0d95fbb7bf19c7665a1c4042b683182b34e2150	13088628	53
32	Shadowy Coder	92	0x3271e9956370dc263ed7cb8dcc3d8988c82b1e67	13088601	78
33	Shadowy Coder	92	0xbfce30a2dd711f3ed252238e820a3c79afb5b4ea	13089292	147
34	Shadowy Coder	92	0x3943f78dcc1b07fbd429b3a27b141176350eeb26	13088602	124
35	Shadowy Coder	92	0x58f732dc82c765bf0e87e48fb86ad930a21a9602	13191979	183
36	Shadowy Coder	92	0xc99df6b7a5130dce61ba98614a2457daa8d92d1c	13088616	96
37	Shadowy Coder	92	0xb66266c0846034c117de7ef5bcc2d250d0d5cf66	13088604	263
38	Shadowy Super-Coder	91	0x2963b4311e07da3d9c50f2e1eb14659e42e3f4a9	13088604	265
39	Shadowy Coder	92	0x2963b4311e07da3d9c50f2e1eb14659e42e3f4a9	13088604	267
40	Shadowy Coder	92	0x800e2842fcc809dd293087260673c7125d7ca61d	13088606	109
41	Shadowy Super-Coder	91	0x0c626d209ee582042b9c5bd0238c398d5189cc51	13088609	206
42	Shadowy Coder	92	0x0c626d209ee582042b9c5bd0238c398d5189cc51	13088611	57
43	Shadowy Coder	92	0xbfce30a2dd711f3ed252238e820a3c79afb5b4ea	13089284	89
44	Shadowy Coder	92	0xa79d18352e2f262cd7ac7504a00e8455156512d5	13088611	199
45	Shadowy Coder	92	0x5c6bf690423a16d91356487ab6cbece5ca72c7de	13088614	170
46	Shadowy Coder	92	0x012d46443cdd43ba624260e1c56872bf3df1613b	13088615	61
47	Shadowy Coder	92	0xc0d95fbb7bf19c7665a1c4042b683182b34e2150	13088629	566
48	Shadowy Super-Coder	91	0x0a690b298f84d12414f5c8db7de1ece5a4605877	13088616	218
49	Shadowy Coder	92	0x0a690b298f84d12414f5c8db7de1ece5a4605877	13088616	220
50	Shadowy Coder	92	0xef9af9a202ab400863dd0615b216d9a8c9fc17f5	13088620	170
51	Shadowy Coder	92	0x7285502ed0a0ed25f65941e480bda7114492acf9	13088623	168
52	Shadowy Coder	92	0xc0a049c78a79ccf40f20697ac01753a2e3e8e01d	13088628	51
53	Shadowy Coder	92	0xaf2358e98683265cbd3a48509123d390ddf54534	13088629	399
54	Shadowy Super-Coder	91	0xf7dbfe7dcfba501464008554e7c5edde8ab7b0ff	13088637	116
55	Shadowy Coder	92	0x4fe992e566f8a28248acc4cb401b7ffd7df959b0	13088637	142
56	Shadowy Coder	92	0xed625c9aba1245fa8e22eb1f1825881517a9dce7	13088637	152
57	Shadowy Coder	92	0xf7dbfe7dcfba501464008554e7c5edde8ab7b0ff	13088638	142
58	Shadowy Coder	92	0xcb46219ba114245c3a18761e4f7891f9c4bef8c0	13088642	115
59	Shadowy Coder	92	0x04661f3a34414e9ff6d935b365fd751747581364	13088643	350
60	Shadowy Super-Coder	91	0x8a7f7c5b556b1298a74c0e89df46eba117a2f6c1	13090338	145
61	Shadowy Super-Coder	91	0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff	13088648	140
62	Shadowy Coder	92	0x6541c7e618589766ccd6edc70557be190530a780	13088648	305
63	Shadowy Coder	92	0xd999999983882251afadbc27c2ebf0123c483250	13088670	3
64	Shadowy Coder	92	0xf6da21e95d74767009accb145b96897ac3630bad	13088649	72
65	Shadowy Coder	92	0xed1e949dba2fb54e83b3ae2fbbb5cc99aae3a920	13088650	279
66	Shadowy Coder	92	0xa1a6e1c9a696518e9eb3ab1cc0ac998d5ad88246	13088655	46
67	Shadowy Coder	92	0xb270c422e3757463e58d1a1b423d91935ef85dcc	13088655	49
68	Shadowy Coder	92	0x682231f621d28cbcba592fd65723efb9c3182619	13088655	129
69	Shadowy Coder	92	0xf71e9c766cdf169edfbe2749490943c1dc6b8a55	13088655	147
70	Shadowy Coder	92	0xca3e3ff71782cda9fb5a7f2234287061f141e881	13088733	91
71	Shadowy Coder	92	0x5b05505cec199d2fe4e73ad84f5f558229eb563c	13131095	218
72	Shadowy Super-Coder	91	0xbfe9e1a7582df5663452d52bc422c8e6138fcf0e	13088660	430
73	Shadowy Super-Coder	91	0xa45beafdc1faea2b668ea95725239ca287a9b310	13486234	402
74	Shadowy Coder	92	0xc370d2a5920344aa6b7d8d11250e3e861434cbdd	13088668	159
75	Shadowy Coder	92	0x112be8010ac3ae3aac99490002555297438ac394	13088668	253
76	Shadowy Coder	92	0xf60f6d5acfaae09e666f0efac21b29290e4a9109	13088671	207
77	Shadowy Coder	92	0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113	13088671	209
78	Shadowy Coder	92	0xa45beafdc1faea2b668ea95725239ca287a9b310	13486234	416
79	Shadowy Coder	92	0xbfe9e1a7582df5663452d52bc422c8e6138fcf0e	13088672	252
80	Shadowy Coder	92	0x468c2dac680f0600bf8c86b6a8bbffc81f82f159	13957228	272
81	Shadowy Coder	92	0x4689cff824d63117f9c4c42f3ec0001676f00d25	13091834	159
82	Shadowy Coder	92	0x19327c8fc14585b075b98583613f5e46488e4c7f	13088674	227
83	Shadowy Coder	92	0xebfe65b40a155350fd5f1af092b7b00ffc6ecbcd	13226636	364
84	Shadowy Super-Coder	91	0x69c62363f5bd1a4505d2bcefa886468478a74b91	13088679	172
85	Shadowy Coder	92	0x4ee34ba6c5707f37c8367fd8aef43f754435f588	13216371	243
86	Shadowy Coder	92	0x9f2fb56d46be667e4d4c25c32ba4ab6b373aec1e	13088679	217
87	Shadowy Coder	92	0xb5919ecf5c3422f0c2806976dc75b3c473498613	13166828	274
88	Shadowy Coder	92	0x6306fd142edeca18a64fd7dbfb425e083ddce973	13226903	853
89	Shadowy Super-Coder	91	0x60b6a57b71f23a8c602ed71b60272fda321d2666	13088680	271
90	Shadowy Coder	92	0x2135a897998ed441a806456fab5328375341cac7	13088680	325
91	Shadowy Super-Coder	91	0x79b0749eb0c2912e0a5cfab822d08efe8f9ad813	13088683	300
92	Shadowy Coder	92	0x517050cc882196e9313a095cdd98602195470420	14078486	228
93	Shadowy Super-Coder	91	0x683a78ba1f6b25e29fbbc9cd1bfa29a51520de84	13088685	117
94	Shadowy Super-Coder	91	0x9556e1711ec7bd368441eeb4d3c4cced15e19add	13088686	59
95	Shadowy Coder	92	0x60b6a57b71f23a8c602ed71b60272fda321d2666	13088687	18
96	Shadowy Super-Coder	91	0x19327c8fc14585b075b98583613f5e46488e4c7f	13091769	193
97	Shadowy Coder	92	0x19327c8fc14585b075b98583613f5e46488e4c7f	13091769	193
98	Shadowy Coder	92	0xca3e3ff71782cda9fb5a7f2234287061f141e881	13088737	393
99	Shadowy Coder	92	0xc01c9030051e5bf21cc240369555bf3275f8b67a	13088696	190
100	Shadowy Coder	92	0x9556e1711ec7bd368441eeb4d3c4cced15e19add	13088696	307
101	Shadowy Coder	92	0xb9b8ef61b7851276b0239757a039d54a23804cbb	13088700	78
102	Shadowy Coder	92	0x53a0ddd54ce34a1432cfc4300efa16e558f4047a	13088701	233
103	Shadowy Super-Coder	91	0x6e80c53f2cdcad7843ad765e4918298427aac550	13088701	255
104	Shadowy Coder	92	0xca3e3ff71782cda9fb5a7f2234287061f141e881	13088701	261
105	Shadowy Super-Coder	91	0xe95ab07a55e8489fe8e81e3281c8b3fd95c7d8af	13959316	106
106	Shadowy Coder	92	0xbcf9db93636ba866d10fbd6f948710589b7e08df	13088704	281
107	Shadowy Coder	92	0x59ce5702f124ae45d63ae1c531e41b8c456a072d	13088704	283
108	Shadowy Coder	92	0x05e10fa8505e8df7f420ca5781d900ca468f0fe9	13088704	305
109	Shadowy Coder	92	0x71d87aabb42de94a7214976a05134935f73e64aa	13088746	177
110	Shadowy Coder	92	0x4da2e85d64bece663ccab06e89b970b6b077f22f	13088706	208
111	Shadowy Coder	92	0x9f9bc52febc90b463207a3293aa654ef2367b8fb	13088706	249
112	Shadowy Coder	92	0xc0c2812030acde63d43e53aa8a81a4d9e14fb607	13088708	135
113	Shadowy Coder	92	0x601729acddb9e966822a90de235d494647691f1d	13088710	65
114	Shadowy Coder	92	0xe5c4397061168effcec21ab402abc49f97bf0b2c	13088711	359
115	Shadowy Super-Coder	91	0xb2166664cbe8975174fe23f2b1a42a3300607e54	13088711	425
116	Shadowy Coder	92	0xb2166664cbe8975174fe23f2b1a42a3300607e54	13088711	427
117	Shadowy Coder	92	0x69c62363f5bd1a4505d2bcefa886468478a74b91	13088711	433
118	Shadowy Coder	92	0x161ea288055b58fb182f72b124a5d0f367b099e4	13088721	72
119	Shadowy Coder	92	0xede73d584e6d6c0ca53cdf56a8613f4b8204c0dd	13088723	142
120	Shadowy Coder	92	0x7b90e91c9d511292aa6b721996faf69d3ce6a0ea	13088725	341
121	Shadowy Coder	92	0x0c76b911dccdab978caed51ea33a99874d1f9fe0	13088726	11
122	Shadowy Coder	92	0x14e56cf9e6257475f9b6310adc98865fc24d6504	13088728	279
123	Shadowy Coder	92	0x4f1512d88d00962f58b6d543ff1803cc683d39f5	13088728	398
124	Shadowy Coder	92	0xbb712d3db7abf75af33db8032145c21b7634a2f6	13088733	82
125	Shadowy Coder	92	0xa27b6a3a2a452788f4e105e8d2f3f5268e98c4d3	13089505	184
126	Shadowy Coder	92	0x0709b103d46d71458a71e5d81230dd688809a53d	13134915	264
127	Shadowy Super-Coder	91	0x00d46d105507a04d7e4592cf43bbbad964bc77ab	13088737	533
128	Shadowy Coder	92	0x00d46d105507a04d7e4592cf43bbbad964bc77ab	13088737	535
129	Shadowy Coder	92	0x666f350cf929db315c8c22a0a7a804dca83e5754	13088737	548
130	Shadowy Coder	92	0x527dec653ebb4c029586f5b26cfe3de1c634e9cc	13088739	359
131	Shadowy Super-Coder	91	0x9492510bbcb93b6992d8b7bb67888558e12dcac4	13242694	197
132	Shadowy Coder	92	0x2c84547f7076c4d834f14c5b2ff627f1913291e4	13816496	123
133	Shadowy Coder	92	0x157fd8a685c49bbd058b0d777fd88de74abb7e73	13088747	254
134	Shadowy Coder	92	0x05e1cb89e3d876681e8999942c32403d65dd1b4d	13088750	129
135	Shadowy Coder	92	0x8f2534315d341fc1349ab7e99dc675b3aa539b35	13088754	233
136	Shadowy Super-Coder	91	0x2c84547f7076c4d834f14c5b2ff627f1913291e4	13816496	124
137	Shadowy Coder	92	0x8a5df14db8acfdcd6cb824299e08ad1356b8ecf4	13088782	231
138	Shadowy Coder	92	0x99999962aca5acb687f514a01b6282eab31ec8c6	13088779	42
139	Shadowy Coder	92	0x6e80c53f2cdcad7843ad765e4918298427aac550	13088756	223
140	Shadowy Super-Coder	91	0x548c690f898bee888240bd217302d60bcdf2b4d7	13088756	273
141	Shadowy Coder	92	0x01d05838b47fe9608cf58d9688e9b5b46816ae91	14417882	145
142	Shadowy Coder	92	0x548c690f898bee888240bd217302d60bcdf2b4d7	13088756	287
143	Shadowy Coder	92	0x613e28fca6a8cd30fad462df2ce612d413e78cd3	13088756	299
144	Shadowy Super-Coder	91	0xd33bd4c311428c00a74542e274821c4fb492233c	13088812	172
145	Shadowy Coder	92	0xd33bd4c311428c00a74542e274821c4fb492233c	13088812	192
146	Shadowy Super-Coder	91	0xd1f60ebec593289daba5f5ecba16a906f9d7a8bc	13088756	309
147	Shadowy Coder	92	0xd1f60ebec593289daba5f5ecba16a906f9d7a8bc	13088756	311
148	Shadowy Coder	92	0x40c26c6cd7092904c327bd7449dd6e7c7ccf9c43	13088763	189
149	Shadowy Coder	92	0x729170d38dd5449604f35f349fdfcc9ad08257cd	13088764	541
150	Shadowy Coder	92	0xceb300578a568b311fab25d1308492ab0d292832	13088765	71
151	Shadowy Super-Coder	91	0x93a6beb51ea19803237437c5142bfb09f2ba9a01	13088772	587
152	Shadowy Coder	92	0xa531d452ea797d04caf6181f5a2f654005d18f84	13088791	225
153	Shadowy Super-Coder	91	0x2c621c09ef04e781091c9bdc64b030463694e612	13088802	163
154	Shadowy Coder	92	0x2c621c09ef04e781091c9bdc64b030463694e612	13088834	366
155	Shadowy Coder	92	0x512fce9b07ce64590849115ee6b32fd40ec0f5f3	13088780	57
156	Shadowy Coder	92	0x554eb3931e2c536fd64f66a09fc30d25ff3045c7	13088784	131
157	Shadowy Coder	92	0x755eac9cdc35f20aa016941846146ecad62d3937	13088784	142
158	Shadowy Coder	92	0x4d03ef005e5f559fc9294a8e1cebba09284b1f82	13088784	146
159	Shadowy Coder	92	0xe13c7f49ba4172e560ebd7a95a08df797e48dfac	13088784	159
160	Shadowy Super-Coder	91	0xd4be33f3b778f0bb9bc447e38e45a16a9b33a3ea	13088791	214
161	Shadowy Super-Coder	91	0x760d390b5ef85138d428f5e8c98b60d0d45055a2	13088791	234
162	Shadowy Coder	92	0x93a6beb51ea19803237437c5142bfb09f2ba9a01	13088791	602
163	Shadowy Coder	92	0x760d390b5ef85138d428f5e8c98b60d0d45055a2	13088798	25
164	Shadowy Super-Coder	91	0xf521bb7437bec77b0b15286dc3f49a87b9946773	13088800	104
165	Shadowy Coder	92	0xf07fa9f3d21fa32fad1b02f27ea4d8d2e64931a0	13088802	168
