address	galaxyGirl	shadowySuperCoder	shadowyCoder	cowBoyLV1	cowBoyLV2	cowBoyLV3	cowBoyLV4	cowBoyLV5	boost	total
0x8abddde16a728a1cc7e9d282a64f068c3989f5a2	1	0	0	0	0	0	0	0	1	250
0xa49889cd2801e689ccb73f7b9a6ac729a3607348	1	0	0	0	0	0	0	0	1	250
0x52386be2397e8eac26298f733b390684203fb580	0	1	1	0	0	0	0	0	1	300
0x3238b53a910b69f5dbdb31786613ce944536ba19	0	0	1	0	0	0	0	0	1	100
0x20f605cb19116916905b528dea5ee9747da92965	1	0	0	1	1	1	1	0	1.2	590
0xc83fdb99650683cc881fd1528dd5b756c69749a6	1	0	0	0	0	0	0	0	1	250
0x9d31f4d67785a9e60f65006e7f2d8f2180dcc933	0	0	0	1	1	1	1	0	1.2	290
0x05d97bd58143ce3ae083e11fa6d515e9b90c0934	1	0	0	0	0	0	0	0	1	250
0xf7b86d4ddbc01a7853224709815a5147dff68e8c	1	0	0	0	0	0	0	0	1	250
0xb77729e9c00a508351bd81f01657eb2dbac247ea	0	0	0	1	1	0	0	0	1	50
0x783578b0c86fc28b63e455b06153bbbf70e6075d	1	0	0	1	1	1	1	1	3	1490
0x75da061174ec1b5c0ed8cf67438a697e6a42757b	1	0	0	0	0	0	0	0	1	250
0x2f4cd01b5e54088de41b81c1fdb0f67252e42246	1	0	0	1	1	1	1	0	1	540
0xd519004f43ccdad5e429d2478bd3f001f0880fb1	0	0	0	1	1	0	0	0	1	50
0xe596f1cefbc4814fff941bb1c0a31feadccd24bb	0	0	0	1	0	0	0	0	1	20
0x776defc2147a9fabd011b8511ebdd8da43ed105e	0	0	0	1	1	1	1	0	1.3	290
0x072e42363a9b15d1ca01d48cd06e970fa70eac70	1	0	0	0	0	0	0	0	1	250
0x1af331dc34dd7c5c62af28b5685328318b61888a	1	0	0	0	0	0	0	0	1	250
0x0311f06285b048b0dcfbb3de6242e99e0dec8427	1	0	0	0	0	0	0	0	1	250
0xab99da4232c2d78d7a5b4a6946827f3fb8ac3f39	0	0	0	1	1	1	0	0	1	110
0x3a61ee0c739a94d6af9081ff5c46d239ba8923f7	0	0	0	1	1	1	1	0	1	290
0xcda1a0ecd7d25b49ecbf0eec1f45f0b7fb59961b	1	0	0	0	0	0	0	0	1	250
